text,state,,
Yo creo que se están dando cuenta del gran mercado digital que hay y de su practicidad  y por ello van por ese pastel. No en vano Mapfre es considerada por la Condusef como la mejor aseguradora de México en su último reporte.,1,,
coincido con misael yo contrate un seguro de daños en mapfre y la verdad que me respondieron muy bien,1,,
un gran aporte: claro y conciso.,1,,
es seguro y la promoción es real,1,,
Muy buen post!,1,,
Su oportunidad y servicio. además la mejores tasas del mercado,1,,
Muy buena la información que brinda el post. Lo compartiré con mis conocidos que necesitan un seguro,1,,
"el post aporta informacion muy interesante. Muy bueno y conciso, lo recomiendo.",1,,
"Tengo en éste momento y desde hace cuatro años Seguros Rivadavia por que siempre tuve respuesta en cualquier situación, para mí es una empresa transparente y en cuanto a los siniestros tiene buena y rápida respuesta.",1,,
"es un buen post, me parecio muy bueno e interesante espero que sigan escribiendo posts buenos como este",1,,
"Que buen post, esta genial!",1,,
"Me parece muy bueno el mejor trato, excelente post la verdad que lo recomiendo a todos.",1,,
"Le doy 5 estrellas porque es un muy buen post, muy claro, conciso y bien explicado. Excelente",1,,
Lo que dice el post es real. Excelente atencion de siniestros! Recomendable. Muy bueno genial,1,,
Excelente servicio en todos los ramos,1,,
"Excelente seguro, siempre me han respondido. En dos oportunidades me chicaron y no tuve problema",1,,
"la mejor aseguradora y precios axecibles. muy buena la atencion,al menos yo no tengo que quejarme,siempre me respondio",1,,
"Excelente, una herramienta importante para nuestros asegurados y también para nosotros los productores, gracias por estar siempre invirtiendo en sistemas",1,,
Es una de las empresas más serias y confiables del mercado . Se nota el compromiso con sus asegurados. ,1,,
Recomiendo completamente Seguros Rivadavia.,1,,
"Sinceramente, excelente la atención!En 5 minutos despejaron mis dudas y me solucionaron mi problema.",1,,
"Exelente, muy buena atención!",1,,
"Compania se seguros muy responsable, con mucha atención humana y respalda a sus productores.",1,,
excelente atencion y compromiso,1,,
"Excelente trato telefónico, respuesta inmediata!",1,,
 se portaron de diez todo rápido felciito a seguros Rivadavia quilmes,1,,
"Encantado con la empresa y los profesionales de Seguros Rivadavia, excelente atención.",1,,
resolvieron en muy buen tiempo y brindando un servicio de calidad.,1,,
su atención y pronta respuesta muy bien quedó felicitar a los directivos y trabajadores de Seguro Rivadavia por la excelente atención y pronta respuesta,1,,
"Excelente servicio y atención, muy conforme con la compañía!!!",1,,
"Excelente compañía de Seguros! Tanto en atención del personal, como en los servicios que brinda. La recomiendo",1,,
ES MUY RECOMENDABLE,1,,
"La recomiendo, excelente servicio y muy buena atencion al cliente",1,,
La mejor atención y servicio,1,,
"Es una empresa muy segura, y en los siniestros tiene respuesta muy rápida.",1,,
Excelente! Altamente recomendable,1,,
Excelente atención. La mejor nunca me falló. Felicito a la empresa por el nivel de sus empleados.-,1,,
Excelente atención tanto telefónica como personalmente! Muy recomendable,1,,
muy buena atención y rápidos para solucionar el siniestro! el.seguimiento muy bueno! muchas gracias,1,,
Hace años que estoy asegurada! Muy conforme!!!,1,,
"Super recomendable, gran atención, servicio y grupo humano!",1,,
Es un gusto que una empresa argentina atienda de esa manera. Tiene un sistema por web fantástico,1,,
Excelente este seguro que tiene compromiso por sus clientes,1,,
"Excelente atención, como siempre. Muchas gracias de nuevo",1,,
"Excelente atencion recibida tanto on line como telefonica, muy buena compañia de seguros",1,,
Gracias porque siempre me han sabido atender muy bien. Me tuvieron paciencia para explicarme todo y cumplieron cuando los necesité.,1,,
Recomiendo asegurarse en Rivadavia! son muy buenos y atienden muy bien. es un muy buen servicio,1,,
" Lo recomiendo, lo mejor del mercado asegurador",1,,
El trato que recibí fue excelente. Que bueno que sepan guiar a sus clientes de buenas maneras y con respeto.,1,,
Excelente Aseguradora! Brinda rápida respuesta a sus Asegurados y a sus Productores Asesores de Seguros. Atención personalizada,1,,
Excelente atención al publico!! Rapidez en la solución de problemas; responsables y muy confiables,1,,
"recomiendo esta empresa. Eficiente, es como se dice, el mejor servicio, siempre a su servicio!!!",1,,
"Muy buena la atención!! Las chicas del call ,son bárbaras . Muy conforme con la empresa! Gracias.",1,,
La excelencia de esta emrpesa se forja por la calidad de personal humano que la compone!,1,,
"Tengo todo asegurado en Rivadavia nunca tuve problemas, aun en situaciones desfavorables para la aseguradora",1,,
Excelente atención. Muy buenos servicios. Siempre me solucionan todos los problemas.,1,,
Excelente servicio tuve como 10 siniestros y siempre responden. Rápido y con muy buena atención.,1,,
"Buena atención y predisposición , respuesta pronta y efectiva !! Muy recomendable",1,,
La mejor empresa del mercado asegurador! Perfecto servicio y la mejor atencion al cliente. super recomendable.,1,,
Siempre responden eficientemente y en los tiempos pactados. Atención cálida y cortes,1,,
"Excelente atención! Fui a denunciar un choque, me atendieron inmediatamente y solucionaron el tema con mucha rapidez y óptima atención. Felicitaciones!!!",1,,
"Muy buena atención, tanto telefónica como personal.",1,,
"Excelente atención, muy buen asesoramiento, nunca un problema!! Recomendable",1,,
"Excelente el call center. La atención es muy profesional, y cordial. Muestran compromiso en la resolución de problemas y dudas en general",1,,
"Excelente seguro, atención inmediata, eficiente y cordial!",1,,
Muy buena la atención telefónica,1,,
"Este post es muy bueno, explica todo bien y se entiende perfecto. ",1,,
"Muy buen post, detallado y bien explicado. Los felicito!",1,,
Excelente atención al público muy buena predisposicion y rapidez para solucionar los problemas,1,,
"Verdaderamente un espectáculo, siempre que los necesité me ayudaron y trataron muy bien.",1,,
Tuve un accidente muy complicado y pudieron ayudarme en todo el proceso.,1,,
"Buen seguro, yo lo tengo y cero problema.",1,,
"En 2 minutos contraté el seguro desde la página y me llegó la póliza a mi mail, super rápido!",1,,
Es un gran seguro bien completo.,1,,
Yo en 2 minutos la aseguré y ya me mandaron todo por mail. Impecable y 100 por 100 recomendable.,1,,
"Me parece genial este seguro. Desde que lo contraté, nunca un problema. Cumplen siempre.",1,,
"Es una gran satisfacción para mí ser agente de seguros, contando con el respaldo de las aseguradoras y destaco la labor y la visión de HDI",1,,
Bravo!!! Excelente información,1,,
"Excelente compañia, años que tengo comprando mis seguros, de casa y carro",1,,
"a mi me atendieron super bien,yo si recomiendo HDI seguros",1,,
"Excelente trato y servicio, todo quedó excelente y x segundo año lo contratamos de nuevo. 100% recomendado",1,,
en lo personal me parece muy confiable,1,,
"el servicio al cliente, la forma en la que sus agentes se involucran en cada problema a resolver de un asegurado, las empresas reparadoras por lo menos en Almería, son las mejores",1,,
"Muy contenta con el servicio, grandes profesionales",1,,
Es una empresa genial que te ayuda en todos los sentidos,1,,
"Me parece un muy buen post, completo, conciso y correcto",1,,
Le doy 5 estrellas. Esta genial,1,,
En mi opinion este es un buen post. La empresa de seguros es confiable y el post brinda informacion completa,1,,
Yo no tengo mala experiencia con Verti.Mientras que todas las compañías me rechazan fueron los unicos que me han aceptado.,1,,
Un precio muy competitivo y por el momento el servicio recibido ha sido fantástico.,1,,
"Estoy de acuerdo con todos los comentarios que leo. El post es interesante, correcto y aporta buena informacion",1,,
"No concuerdo con algunas cosas que dice el post, sin embargo, es completo y bueno asique le doy 4 estrellas",1,,
Me parece un servicio completo y recomendable. No tuve que utilizarlo pero me sentía muy tranquila durante mi estancia en Nueva York.,1,,
Encantado si tienes problemas te los solucionan fácilmente.,1,,
Claridad y facil gestión. Gracias a Dios no tuvimos que hacer uso del seguro.,1,,
"Rápido, sencillo y útil. Lo utilicé en un viaje a la Isla de Pascua que me hice un esguince y estoy más que satisfecho :)",1,,
No necesite utilizar los servicios contratados pero las coberturas cumplían mis necesidades.,1,,
"Tuve la necesidad de utilizar mi seguro durante mi viaje a Tailandia y la atención por correo electrónico fue rápida a pesar de ser tarde por la noche,",1,,
me brindaron asistencia en un muy buen hospital. Recomiendo ampliamente esta agencia de seguro.,1,,
"He contratado seguro de viaje dos veces con ellos, por suerte nunca he tenido que utilizarlo",1,,
La gestión y la transparencia a la hora de contratarlo y recibir información ha sido buena,1,,
"Recomendable. la contratación ha sido súper fácil, rápida, con coberturas muy completas y a un precio muy competitivo.",1,,
Hace años que contrato los seguros de anulación y asistencia en viaje. Tuve que usar el de anulación en una ocasión por un diagnóstico médico y la gestión fue muy ágil,1,,
"Excelente servicio, muy atentos y pendientes de todo, usamos el servicio médico en Miami y lograron hacer que nos atendieran rápido y con todo lo necesario para regresar tranquilos a casa",1,,
me atendieron bien por telefono aun que nunca tuve que pedir ayuda medica. siempre los temas administrativos etc y siempre bien.,1,,
"Por desgracia tuvimos que utilizar el seguro medico contratado.Todo fueron facilidades,nos atendieron en el propio hotel,por lo que no tuvimos que desplazarnos.Fueron encantadores !",1,,
Recomiendo sin ninguna duda este seguro para cualquier viaje que se realice.,1,,
"Afortunadamente no hemos usado la políza, pero precio y coberturas excelentes.",1,,
100% comodidad al contratar el seguro,1,,
siempre que viajo voy muy tranquila contratando el seguro con ustedes ya que tengo muy buenas referencias,1,,
Se lo recomiendo a todos mis conocidos que vayan a viajar,1,,
"La contratación fue sencilla y rápida. El precio muy competitivo. Por suerte, no lo tuve que usar.",1,,
Todo genial. Les necesité y respondieron inmejorablemente,1,,
Me lo recomendó un familiar. Fue muy fácil contratar el seguro. No hice uso de sus servicios pues no tuve necesidad.,1,,
"Fácil de contratar, buenas coberturas.",1,,
Tuvimos un percance en Copenhague y se portaron fenomenal de principio a fin. Siempre viajaremos con ellos!,1,,
"Un seguro fácil de contratar, entendible, fácil de contactar y con un funcionamiento muy efectivo. Todos los trámites para la devolución on line y sin poner pegas.",1,,
Gran seguro !! Y geniales condiciones,1,,
"Siempre viajo con la seguridad que me ofrece esta compañía y la recomiendo a todas mis amistades y conocidos, pues IATI Seguros me ofrece, seguridad, tranquilidad y felicidad.",1,,
fácil y cómodo de contratar. Además después de tiempo comparando es el mejor calidad-precio,1,,
He viajado tranquila con la suerte de no necesitar usar las coberturas.,1,,
"El mejor seguro de viaje que he tenido en mucho tiempo, lo contraté ya para dos viajes y lo tuve que usar en el desierto de Masada en Israel y funcionó a la perfección.",1,,
"En cualquier caso, todo el proceso de contratación, información y coberturas me parece muy claro y rápido.",1,,
Gestión rápida. Me informaron en todo momento como hacer frente a los imprevistos surgidos.,1,,
"Todo bien, siempre rápido y eficaz",1,,
"Buen servicio, me pidieron mucha documentación, pero dadas las circustancias me pareció razonable.",1,,
Es una empresa seria y cumplidora. Lo recomiendo,1,,
Me parece un buen post!,1,,
"genial, interesante, buen post. Le dejo 5 estrellas",1,,
esta genial. Me parece interesante y bien redactado. Le dejo 4 estrellas porque hay cosas para mejorar. Pero muy bueno en general!,1,,
"el post es interesante, bueno y completo. lo que dice es cierto asique me gusto",1,,
me gusto el post. da gusto leer cuando se escribe tan claro sobre un tema. Me parece muy valiosa la informacion que proveen sobre esta compañia. Le doy 5 estrellas a el post,1,,
Genial! gracias por la información que brindan en sus posts! me sirve mucho. ,1,,
"Me es de muchisima utilidad todo lo que escriben en sus posts. Esta buenisimo, le doy 5 estrellas",1,,
"Tengo en éste momento y desde hace cuatro años Seguros Rivadavia por que siempre tuve respuesta en cualquier situación, para mí es una empresa transparente y en cuanto a los siniestros tiene buena y rápida respuesta.",1,,
Excelente atencion de siniestros!,1,,
seguridad responsabilidad buena atencion,1,,
"¡¡¡ Excelente !!!! Me chocaron de atrás y como el otro vehículo estaba asegurado en La Segunda, que tiene convenio CLEAS con Seguros Rivadavia, en menos de dos meses me arreglaron el vehículo perfecto cambiando las piezas afectadas y sin pagar un peso.",1,,
Comunicación periódica y rapidísima atención vía mail. Solicité las facturas de las partes afectadas y la denuncia del siniestro para presentar en el grabado de las autopartes y en menos de una hora ya las enviaron,1,,
Me gusta el post. Felicitaciones. Les dejo 5 estrellas,1,,
"exelente, muy recomendable. la aplicacion funciona perfecto",1,,
"Son excelentes!!el servicio de grúas muy bueno. Muy satisfecho,muy cordiales, atentos.Atención magistral da satisfacción cuando te escuchan y solucionan cualquier percance como esta empresa gracias muy conforme",1,,
Buen y muy rápido servicio.,1,,
"Por el momento todo perfecto. La App a destacar, muy completa.",1,,
"Estamos conformes, hace unos meses que estamos y todo está muy bien.",1,,
"Realmente todo exelente por el momento , entre como referido y recibi los gift card , te podes comunicar via whatsapp y te atienden enseguida , los recomiendo !!!",1,,
Muy conforme hasta ahora nunca use el servicio pero siempre me mantienen al tanto de todo,1,,
Una excelente atención! Gracias,1,,
"Si estoy contento y muy buen servicio,para recomendar.",1,,
"se cumplen sin problemas las pautas establecidas; se registran los pagos, en forma automática",1,,
Siempre atentos y serviciales. Los operadores buena onda. Un seguro que responde y paga.,1,,
"La experiencia de contratación fue fabulosa. Eso más el respaldo de San Cristóbal, me convencieron.",1,,
Al momento es la mejor experiencia en cuanto seguros de autos,1,,
Muy recomendable,1,,
Estoy contento con el servicio es muy práctico que sea todo virtual,1,,
La atencion de Romina fue excelente. Muy precisa. Y muy amable. Y muy agil.,1,,
"Muy buen servicio(atención y asesoramiento) y rápida resolución de los siniestros presentados , nada que criticar ni objetar",1,,
Todo perfecto por ahora,1,,
Superó mis expectativas,1,,
"Me parece muy ágil la forma de contratación, actualizada a estos tiempos. ",1,,
Muy practico,1,,
Excelente servicio muy eficiente,1,,
"Todo muy rápido, perfecto.",1,,
"Excelente atención, rapidez en la contratación. ",1,,
"Hasta el momento respondieron en tiempo y forma. El sistema es muy práctico, y eficiente",1,,
"Muy buena atención, cordial y rápido.",1,,
Por ahora muy bien y agil,1,,
si la atencion telefonica muy rapida y muy efectiva .desde ya muy agradecido por el servicio,1,,
El proceso de contratacion fue optim,1,,
Nunca tuve ningún problema. Muchas gracias,1,,
"Muy buena la atención de esta compañia, el post interesante y bien redactado. Lo comparto y recomiendo",1,,
"simplemente excelente la atención recibida desde el telefonista hasta la grúa, ",1,,
Excelente servicio. Y buena atención ante el pedido de traslado,1,,
Por ahora estoy muy positivo con el servicio.,1,,
"Me encanta el servicio, cuándo usé la grúa llegó en menos de una hora.",1,,
"Sorprendido de muy buena manera en como funcionó todo, desde el contacto inicial hasta la autogestion en la app. Felicitaciones.",1,,
Me siento muy acompañado con el seguro del auto de esta compañia. Recomendable,1,,
"La gestión de alta es muy buena.
Todavía, por suerte, no he utilizado el servicio.
Saludos.",1,,
"Hasta ahora no fue necesario utilizarlo,pero me siento confiando debido al trato que tuve cuando consulte todas mis dudas sobre a la hora de asociarme.",1,,
Muy satisfecho con la atención y el seguro gracias,1,,
Todo correcto. Doy 5 estrellas,1,,
"Todo muy bien, gracias",1,,
Excelente atención del vendedor por whatsapp.,1,,
Estoy conforme. El post es bueno,1,,
La atencion muy buena y eficiemte,1,,
Por el momento no he tenido necesidad de usar el servicio. De todas formas parece ser bueno. Me atendieron muy bien,1,,
Ya los estoy recomendando !!,1,,
Muy conforme por el trato y deseos de solucionar el problema por parte de la persona del ser,1,,
hasta ahora todo muy bien.,1,,
Sencilla y excelente,1,,
Por el momento todo perfecto. Para mi es muy práctico que sea todo on line. Fácil de manejar la App y para subir las fotos.,1,,
"Estoy satisfecha, aún no lo necesite, tengo hace poco el seguro, espero que no aumente mucho. Pero por ahora todo bien",1,,
Lo recomendaria,1,,
Muy positivo poder realizar todo online.,1,,
la verdad no puedo opinar encuanto a los servicios porque gracias a Dios no los tuve que utilizar.en cuanto a la atencion cuando saque el seguro mil puntos.gracias,1,,
Rapida antencion,1,,
"Todavía no tuve que hacer uso del servicio, ahí se verá. Por ahora todo bien",1,,
"Muy buena atención, explicaciones claras",1,,
todo muy bien y en buenos tiempos,1,,
"La App de la empresa es excelente, te envía notificaciones, tramitas todo desde allí.",1,,
estoy mucho mas que satisfecho con el producto y sus beneficios que me brindan,1,,
por ahora estoy muy contenta.,1,,
Muy buena la atencion.. Y práctica la app.,1,,
todo ok,1,,
Soy un nuevo asegurado. 2 meses y no tengo nada de que quejarme. Muy buena atencion!! Gracias!!,1,,
